Compound_Id	CpdClass	Smiles
409704	QN-C-R	COc1ccc2nccc(C(O)C3CC4CCN3CC43CC(=O)c4cc(Cl)c(C)cc4O3)c2c1
409706	QN-C-R	COc1ccc2nccc(C(O)C3CC4CCN3CC43CC(=O)c4c(cccc4N4CCCC4)O3)c2c1
409707	QN-C-R	COc1ccc2nccc(C(O)C3CC4CCN3CC43CC(=O)c4cccc(Br)c4O3)c2c1
410427	QN-C-R	COc1ccc2nccc(C(O)C3CC4CCN3CC43CC(=O)c4cc(Cl)cc(Br)c4O3)c2c1
410428	QN-C-R	COc1ccc2nccc(C(O)C3CC4CCN3CC43CC(=O)c4cc(Br)c(C)cc4O3)c2c1
410485	QD-C-S	COc1ccc2nccc(C(O)C3CC4CCN3CC43CC(=O)c4cc(OC(F)(F)F)ccc4O3)c2c1
412007	QD-C-S	COc1ccc2nccc(C(O)C3CC4CCN3CC43CC(=O)c4cc(C(F)(F)F)ccc4O3)c2c1
408276	QN-I	COc1ccc2nccc(C(O)C3CC4CCN3c3c4[nH]c4ccccc34)c2c1
408277	QN-I	COc1ccc2nccc(C(O)C3CC4CCN3c3c4[nH]c4ccc(C)cc34)c2c1
408278	QN-I	COc1ccc2nccc(C(O)C3CC4CCN3c3c4[nH]c4ccc(Cl)cc34)c2c1
408279	QN-I	COc1ccc2nccc(C(O)C3CC4CCN3c3c4[nH]c4cc(Cl)ccc34)c2c1
408280	QN-I	COc1ccc2nccc(C(O)C3CC4CCN3c3c4[nH]c4ccc(F)cc34)c2c1
408281	QN-I	COC(=O)c1cccc2[nH]c3c(c12)N1CCC3CC1C(O)c1ccnc2ccc(OC)cc12
408285	QN-I	COc1ccc2nccc(C(O)C3CC4CCN3c3c4[nH]c4ccc(C(F)(F)F)cc34)c2c1
408286	QN-I	COc1ccc2nccc(C(O)C3CC4CCN3c3c4[nH]c4ccc([N+](=O)[O-])cc34)c2c1
408290	QN-I	COc1ccc2nccc(C(O)C3CC4CCN3c3c4[nH]c4cc(Br)ccc34)c2c1
408291	QN-I	COc1ccc2nccc(C(O)C3CC4CCN3c3c4[nH]c4ccc(OC)cc34)c2c1
408298	QN-I	COc1ccc2nccc(C(O)C3CC4CCN3c3c4[nH]c4cccc(Cl)c34)c2c1
408299	QN-I	COc1ccc2nccc(C(O)C3CC4CCN3c3c4[nH]c4cccc(C)c34)c2c1
408301	QN-I	COc1ccc2nccc(C(O)C3CC4CCN3c3c4[nH]c4cc(C(F)(F)F)ccc34)c2c1
408302	QN-I	COc1ccc2nccc(C(O)C3CC4CCN3c3c4[nH]c4cc(C)ccc34)c2c1
408306	QN-I	COc1ccc2nccc(C(O)C3CC4CCN3c3c4[nH]c4cc(C(=O)O)ccc34)c2c1
408311	QN-I	COc1ccc2nccc(C(O)C3CC4CCN3c3c4[nH]c4c(OC)cccc34)c2c1
408316	QN-I	COc1ccc2nccc(C(O)C3CC4CCN3c3c4[nH]c4ccc(C(=O)O)cc34)c2c1
408559	QN-I	COc1ccc2nccc(C(O)C3CC4CCN3c3c4[nH]c4ccc(OC(F)(F)F)cc34)c2c1
408802	QN-I	COc1ccc2nccc(C(O)C3CC4CCN3c3c4[nH]c4c(F)cccc34)c2c1
408803	QN-I	COc1ccc2nccc(C(O)C3CC4CCN3c3c4[nH]c4c(Cl)cccc34)c2c1
408910	QN-I	COC(=O)c1cc(OC)c2[nH]c3c(c2c1)N1CCC3CC1C(O)c1ccnc2ccc(OC)cc12
409739	QN-I	COc1ccc2nccc(C(O)C3CC4CCN3c3c4[nH]c4cc(C)c(Br)cc34)c2c1
408287	QD-I	COC(=O)c1ccc2c3c([nH]c2c1)C1CCN3C(C(O)c2ccnc3ccc(OC)cc23)C1
408288	QD-I	COC(=O)c1ccc2[nH]c3c(c2c1)N1CCC3CC1C(O)c1ccnc2ccc(OC)cc12
408304	QD-I	COc1ccc2nccc(C(O)C3CC4CCN3c3c4[nH]c4ccc(Br)cc34)c2c1
409050	S-C-S	COc1ccc2c(c1O)C13CCN(C)C(C2)C1CCC1(CC(=O)c2ccccc2O1)C3
409052	S-C-S	COc1ccc2c(c1O)C13CCN(C)C(C2)C1CCC1(CC(=O)c2c(O)cccc2O1)C3
409053	S-C-S	COc1ccc2c(c1O)C13CCN(C)C(C2)C1CCC1(CC(=O)c2cc(O)ccc2O1)C3
409054	S-C-S	COc1ccc2c(c1)C(=O)CC1(CCC3C4Cc5ccc(OC)c(O)c5C3(CCN4C)C1)O2
409056	S-C-S	COc1ccc2c(c1)OC1(CCC3C4Cc5ccc(OC)c(O)c5C3(CCN4C)C1)CC2=O
409733	S-C-S	COc1ccc2c(c1O)C13CCN(C)C(C2)C1CCC1(CC(=O)c2ccc(OC)c(OC)c2O1)C3
409720	S-C-S	COc1ccc2c(c1O)C13CCN(C)C(C2)C1CCC1(CC(=O)c2cc(C)ccc2O1)C3
410414	S-C-S	COc1ccc2c(c1O)C13CCN(C)C(C2)C1CCC1(CC(=O)c2ccc(C)cc2O1)C3
409048	S-C-S	COc1ccc2c(c1O)C13CCN(C)C(C2)C1CCC1(CC(=O)c2cc(C)c(C)cc2O1)C3
410415	S-C-S	COc1ccc2c(c1O)C13CCN(C)C(C2)C1CCC1(CC(=O)c2cc(F)ccc2O1)C3
410416	S-C-S	COc1ccc2c(c1O)C13CCN(C)C(C2)C1CCC1(CC(=O)c2ccc(N4CCCC4)cc2O1)C3
410417	S-C-S	COc1ccc2c(c1O)C13CCN(C)C(C2)C1CCC1(CC(=O)c2cc(Cl)ccc2O1)C3
409724	S-C-S	COc1ccc2c(c1O)C13CCN(C)C(C2)C1CCC1(CC(=O)c2cc(Br)ccc2O1)C3
409726	S-C-S	COc1ccc2c(c1O)C13CCN(C)C(C2)C1CCC1(CC(=O)c2c(ccc4ccccc24)O1)C3
409729	S-C-S	COc1ccc2c(c1O)C13CCN(C)C(C2)C1CCC1(CC(=O)c2cc(Cl)c(C)cc2O1)C3
409731	S-C-S	CCc1ccc2c(c1)C(=O)CC1(CCC3C4Cc5ccc(OC)c(O)c5C3(CCN4C)C1)O2
